Spot,Sample 1 값,Sample 1 에러,Sample 2 값,Sample 2 에러,Sample 3 값,Sample 3 에러,Sample 4 값,Sample 4 에러,Sample 5 값,Sample 5 에러,Sample 6 값,Sample 6 에러
Spot 1,124.80,11.80,131.10,15.30,142.60,11.80,169.11,9.23,153.80,16.60,150.46,4.44
Spot 2,97.20,15.20,177.60,17.00,166.10,30.10,157.60,14.10,165.01,7.35,140.80,16.00
Spot 3,147.20,13.90,168.80,12.60,160.70,14.90,167.20,11.00,152.74,9.31,132.82,6.56
Spot 4,147.50,18.10,181.60,11.20,166.00,14.40,163.70,13.70,173.70,10.50,137.42,6.25
Spot 5,163.10,11.00,188.22,9.96,172.20,10.40,158.53,7.26,160.44,9.93,148.30,8.38
Spot 6,138.50,18.50,151.58,9.49,166.40,15.80,176.40,17.80,158.60,8.40,159.14,5.88
Spot 7,180.00,12.30,156.81,8.46,168.46,8.38,183.10,10.20,197.00,23.70,138.69,6.34
Spot 8,201.28,7.59,155.10,12.10,176.66,9.97,190.14,7.95,184.22,6.81,133.20,11.10
Spot 9,151.70,10.40,188.80,13.90,175.60,20.40,173.60,14.20,176.80,13.80,139.16,8.29
Spot 10,171.40,14.20,163.10,10.30,173.80,12.70,195.20,20.10,175.80,13.70,150.60,12.80
Spot 11,177.03,9.12,142.40,15.60,166.40,10.30,182.00,12.70,181.80,16.30,116.50,18.10
Spot 12,160.15,6.76,172.52,9.82,152.30,14.80,173.44,9.58,169.00,10.20,127.70,32.90
Spot 13,149.20,12.00,154.27,5.80,150.40,10.10,161.10,7.62,182.80,15.00,141.21,3.89
Spot 14,161.06,7.49,140.74,3.92,164.55,9.88,181.30,10.30,175.60,9.92,138.29,6.53
Spot 15,155.50,15.20,153.20,19.20,165.50,10.80,154.90,24.50,169.49,7.68,154.80,5.73
Spot 16,116.70,11.70,163.70,8.81,168.00,10.30,164.04,7.67,174.30,10.70,153.01,8.62
Spot 17,,,179.00,10.00,154.90,6.61,169.84,2.83,160.00,15.60,144.83,8.68
Spot 18,,,177.40,10.40,147.33,7.61,188.64,7.69,153.52,9.13,147.13,6.72
Spot 19,,,,,134.01,4.34,168.60,11.20,150.00,10.30,136.00,12.90
Spot 20,,,,,136.00,14.20,163.90,15.00,158.20,14.70,140.60,17.00
